Contents		
Cover		
Acclaim for the Work of Stephen King!		
Hard Case Crime Books by Stephen King:		
Title Page		
Leave us a review		
Copyright		
Dedication		
Later		
Chapter 1		
Chapter 2		
Chapter 3		
Chapter 4		
Chapter 5		
Chapter 6		
Chapter 7		
Chapter 8		
Chapter 9		
Chapter 10		
Chapter 11		
Chapter 12		
Chapter 13		
Chapter 14		
Chapter 15		
Chapter 16		
Chapter 17		
Chapter 18		
Chapter 19		
Chapter 20		
Chapter 21		
Chapter 22		
Chapter 23		
Chapter 24		
Chapter 25		
Chapter 26		
Chapter 27		
Chapter 28		
Chapter 29		
Chapter 30		
Chapter 31		
Chapter 32		
Chapter 33		
Chapter 34		
Chapter 35		
Chapter 36		
Chapter 37		
Chapter 38		
Chapter 39		
Chapter 40		
Chapter 41		
Chapter 42		
Chapter 43		
Chapter 44		
Chapter 45		
Chapter 46		
Chapter 47		
Chapter 48		
Chapter 49		
Chapter 50		
Chapter 51		
Chapter 52		
Chapter 53		
Chapter 54		
Chapter 55		
Chapter 56		
Chapter 57		
Chapter 58		
Chapter 59		
Chapter 60		
Chapter 61		
Chapter 62		
Chapter 63		
Chapter 64		
Chapter 65		
Chapter 66		
Chapter 67		
Chapter 68		
Chapter 69		
From the Author of LATER… Don’t Miss Stephen King’s JOYLAND		
Read the rest today!		
Acclaim For the Work		
of STEPHEN KING!		
“Excellent, psychologically textured…Stephen King is so widely acknowledged as America’s master of paranormal terrors that you can forget his real genius is for the everyday.”		
—New York Times Book Review		
“King has written…a novel that’s as hauntingly touching as it is just plain haunted…one of his freshest and most frightening works to date.”		
—Entertainment Weekly		
“Extraordinarily vivid…an impressive tour de force, a sensitive character study that holds the reader rapt.”		
—Playboy		
“Stephen King is superb.”		
—Time		
“Mr. King makes palpable the longing and regret that arise out of calamity.”		
—Wall Street Journal		
“King is a master at crafting a story and creating a sense of place.”		
—USA Today		
“Don’t start this one on a school night, kids. You’ll be up till dawn.”		
—People		
